"category","Male","Female"
"95+","4","1"
"90-94","6","4"
"85-89","22","31"
"80-84","29","41"
"75-79","44","63"
"70-74","101","106"
"65-69","130","143"
"60-64","183","180"
"55-59","203","191"
"50-54","255","252"
"45-49","261","299"
"40-44","375","360"
"35-39","353","468"
"30-34","382","505"
"25-29","367","537"
"20-24","393","476"
"15-19","476","478"
"10-14","446","457"
"05-09","466","482"
"00-04","391","343"
