category,series-0
Cement bonded bricks/  stone,94.8
Mud bonded bricks/ stone,3
Bamboo,1.5
Wood / planks,0.4
Galvanized sheet,0.3
Unbaked bricks,0.1
Prefabricated sheet,0
Other,0
