category,series-0
Tubewell / handpump,69.4
Tap/piped water (within compound),18.4
Jar / bottle,7.6
Tap/piped water (outside compound),3.6
Other,0.5
Uncovered well/kuwa,0.4
Spout water,0.05
Covered well/kuwa,0.02
River /stream,0.02
