"category","Male","Female"
"95+","0","3"
"90-94","4","3"
"85-89","15","7"
"80-84","21","21"
"75-79","40","47"
"70-74","85","77"
"65-69","121","137"
"60-64","151","153"
"55-59","149","151"
"50-54","250","262"
"45-49","211","231"
"40-44","248","284"
"35-39","273","302"
"30-34","293","311"
"25-29","305","367"
"20-24","319","360"
"15-19","347","325"
"10-14","297","297"
"05-09","327","305"
"00-04","311","261"
