"category","Male","Female"
"95+","3","5"
"90-94","6","2"
"85-89","13","21"
"80-84","30","43"
"75-79","47","81"
"70-74","99","109"
"65-69","171","144"
"60-64","216","213"
"55-59","254","251"
"50-54","363","335"
"45-49","390","349"
"40-44","493","478"
"35-39","498","542"
"30-34","466","541"
"25-29","542","592"
"20-24","656","697"
"15-19","653","604"
"10-14","587","537"
"05-09","526","492"
"00-04","390","388"
