category,series-0
Cement bonded bricks/  stone,56.6
Bamboo,30.5
Mud bonded bricks/ stone,9.2
Wood / planks,2.3
Other,0.7
Galvanized sheet,0.5
Unbaked bricks,0.2
Prefabricated sheet,0.04
