category,series-0
Tarai Janajati,75.2
Hill Caste,88
Madhesh/Tarai Dalit,58.5
Madhesh/Tarai Caste,80
Mountain/Hill Janajati,81.9
 Religious/Linguistic groups,65.4
Hill Dalit,79.4
Others Foreigners & Not Stated,86
