category,series-0
1,10.5
2,13.8
3,11.8
4,8.9
5,9.6
6,7.4
7,12.5
8,8.7
9,11.6
10,11.6
11,8.5
12,8.6
13,7.7
14,7.8
15,9.8
16,11
17,7.2
18,7.8
19,7.8
