category,series-0
1,68.1
2,72.7
3,72.5
4,63.5
5,62.4
6,65.5
7,65.2
8,65.8
9,68.2
10,75.1
11,60.8
12,61.5
13,74.2
14,41.2
15,63
16,64.5
17,41.5
18,42.8
19,55.3
