category,series-0
Cement bonded bricks/  stone,75.1
Bamboo,17.7
Wood / planks,3.8
Mud bonded bricks/ stone,2.1
Galvanized sheet,1.3
Unbaked bricks,0
Prefabricated sheet,0
Other,0
