category,series-0
1,23.5
2,23.2
3,31
4,27.9
5,24.2
6,22.3
7,23.3
8,30.1
9,17.4
10,25
11,24.9
12,24
13,27.9
14,18.8
15,23.8
16,27.4
17,15.4
18,10.3
19,22.4
