category,series-0
Cement bonded bricks/  stone,77.8
Bamboo,12.3
Galvanized sheet,3.9
Mud bonded bricks/ stone,3.3
Wood / planks,1.3
Other,1.3
Unbaked bricks,0.1
Prefabricated sheet,0.02
