category,Mean age at marriage (Male),Mean age at marriage (Female)
1,24.3,19.3
2,25.2,20
3,25.4,20
4,23.8,19.3
5,24.3,19.4
6,23.9,18.9
7,25.8,20.4
8,23.8,18.9
9,24.6,19.7
10,25.4,20.1
11,24.4,19.3
12,23.6,18.8
13,24.3,19.3
14,22.7,17.9
15,24.2,18.8
16,23.3,18.9
17,23,18.2
18,21.5,17.8
19,21.9,18.2
