category,series-0
1,95.6
2,97.4
3,97.5
4,99
5,101.6
6,103.5
7,101.3
8,100
9,103.5
10,98.7
11,99.7
12,100
13,106
14,99.9
15,103.1
16,94.8
17,96.1
18,105.7
19,99
