category,series-0
Primary education,21.6
Intermediate,17.4
Lower secondary,15.5
Upper secondary,13.3
SLC,13.1
Graduate,10
Post graduate equiv. & above,4.1
Early childhood,3.9
No level,0.7
Not stated,0.4
Other,0.04
