category,series-0
Elementary workers,41.7
Skilled agri.forestry & fishery workers,22.2
Plants & machines operators & assemblers,8.6
Crafts & related trade workers,8.5
Service sale workers,6.4
Managers,4.1
Technicians and associate professionals,3.3
Professionals,3.2
Office assistants,1.5
Armed forces,0.3
Not stated,0.3
