category,series-0
Skilled agri.forestry & fishery workers,34.4
Elementary workers,30.9
Managers,7.5
Crafts & related trade workers,7.4
Service sale workers,6.7
Plants & machines operators & assemblers,5.1
Professionals,4.3
Technicians and associate professionals,2.1
Office assistants,1.2
Armed forces,0.2
Not stated,0.1
