"category","Male","Female"
"95+","7","15"
"90-94","2","9"
"85-89","18","20"
"80-84","30","39"
"75-79","92","61"
"70-74","171","150"
"65-69","267","258"
"60-64","357","303"
"55-59","387","360"
"50-54","504","488"
"45-49","513","516"
"40-44","705","652"
"35-39","702","782"
"30-34","728","814"
"25-29","798","908"
"20-24","868","1030"
"15-19","992","889"
"10-14","860","775"
"05-09","795","754"
"00-04","706","681"
