category,series-0
Elementary workers,35.6
Service sale workers,12.2
Managers,11.3
Crafts & related trade workers,9.3
Professionals,7.9
Skilled agri.forestry & fishery workers,6.6
Technicians and associate professionals,6.4
Plants & machines operators & assemblers,6
Office assistants,4.4
Armed forces,0.2
Not stated,0.1
