category,series-0
Tap/piped water (within compound),56
Tap/piped water (outside compound),16.7
Tubewell / handpump,13.8
Jar / bottle,11.5
Spout water,2
River /stream,0.1
Covered well/kuwa,0
Uncovered well/kuwa,0
Other,0
