category,series-0
Cement bonded bricks/  stone,74.5
Bamboo,11.2
Mud bonded bricks/ stone,10
Galvanized sheet,3.2
Wood / planks,0.6
Other,0.5
Unbaked bricks,0.1
Prefabricated sheet,0
