category,series-0
Cement bonded bricks/  stone,54.9
Bamboo,25.6
Mud bonded bricks/ stone,15.9
Wood / planks,1.5
Other,1.03
Galvanized sheet,0.9
Unbaked bricks,0.2
Prefabricated sheet,0
