category,series-0
Hill Caste,87.7
Mountain/Hill Janajati,84.5
Tarai Janajati,71.3
Hill Dalit,79.6
Madhesh/Tarai Caste,84
 Religious/Linguistic groups,74.1
Madhesh/Tarai Dalit,53.3
Others Foreigners & Not Stated,87.2
