"category","Male","Female"
"> 70","1597","582"
"60-69","2812","941"
"50-59","4222","1395"
"40-49","4862","2486"
"30-39","3813","3723"
"20-29","1308","1862"
"15-19","104","105"
"< 14","5","9"
