category,Male,Female,Total
India,14.8,21.4,16.4
SAARC country (excluding India),0.8,1.2,0.9
ASEAN country,9.1,1.1,7.1
Middle East country,41.6,14.1,34.7
Other Asian country,3.8,3.4,3.7
European Union country,4.3,7.8,5.2
Other European country,2.2,4.3,2.8
North American country (USA & Canada),11,22.7,14
South American country / Carribbean country,0.04,0,0.03
African country,0.3,0.5,0.4
Pacific Ocean region country,11.4,23.1,14.3
Other,0.2,0.2,0.2
Not stated,0.4,0.3,0.3
