"category","Male","Female"
"95+","4","9"
"90-94","7","7"
"85-89","25","32"
"80-84","36","54"
"75-79","86","86"
"70-74","179","150"
"65-69","278","235"
"60-64","354","314"
"55-59","377","363"
"50-54","474","461"
"45-49","538","474"
"40-44","603","664"
"35-39","698","767"
"30-34","692","738"
"25-29","736","874"
"20-24","827","851"
"15-19","847","703"
"10-14","737","746"
"05-09","747","664"
"00-04","628","537"
