category,Male,Female
Below 10,0.1,0.4
10-14,1.5,9.4
15-17,5.8,25.5
18-20,20.5,33.8
20-24,26.7,20.1
25-29,30.2,8.9
30-34,12.1,1.4
35-39,2.4,0.3
40-44,0.5,0.05
45-49,0.1,0.01
above 50,0.04,0
