"category","Male","Female"
"> 70","3019","1003"
"60-69","6605","1649"
"50-59","9473","2199"
"40-49","11146","3134"
"30-39","8501","3462"
"20-29","3845","2248"
"15-19","390","224"
"< 14","14","7"
