category,series-0
Madhesh/Tarai Caste,83.1
Hill Caste,92.8
Tarai Janajati,80.2
 Religious/Linguistic groups,74.5
Mountain/Hill Janajati,89.5
Madhesh/Tarai Dalit,61
Others Foreigners & Not Stated,75
Hill Dalit,83.2
