category,Total,Male,Female
Maithili,42.7,43.9,41.6
Nepali,29.2,28,30.4
Urdu,6.1,6.2,6.1
Nepalbhasha (Newari),3.2,3.1,3.3
Rajbanshi,2.8,2.8,2.8
Tharu,2.8,2.7,2.7
Bhojpuri,2.6,2.7,2.5
Marwadi,2.4,2.4,2.4
Magahi,1.6,1.7,1.6
