category,series-0
Cement bonded bricks/  stone,84.8
Bamboo,7
Mud bonded bricks/ stone,6.5
Wood / planks,1.2
Galvanized sheet,0.5
Unbaked bricks,0.04
Other,0.04
Prefabricated sheet,0
