category,series-0
Cement bonded bricks/  stone,73.9
Bamboo,22.5
Wood / planks,1.8
Mud bonded bricks/ stone,1.4
Galvanized sheet,0.3
Other,0.04
Unbaked bricks,0
Prefabricated sheet,0
