"category","Male","Female"
"95+","1","2"
"90-94","4","5"
"85-89","3","10"
"80-84","16","23"
"75-79","39","43"
"70-74","79","69"
"65-69","102","90"
"60-64","118","108"
"55-59","130","141"
"50-54","181","128"
"45-49","186","204"
"40-44","232","202"
"35-39","232","222"
"30-34","217","223"
"25-29","203","260"
"20-24","331","313"
"15-19","297","261"
"10-14","212","209"
"05-09","176","152"
"00-04","179","173"
