category,value
Brahman - Hill,27588
Kshetri,27232
Tharu,11237
Newa: (Newar),6636
Rai,6182
Tamang,4587
Yakthung/Limbu,4290
Bishwokarma,4252
Khawas,4023
Pariyar,2583
