category,series-0
Cement bonded bricks/  stone,79.7
Bamboo,12.2
Mud bonded bricks/ stone,6.4
Wood / planks,0.8
Other,0.5
Galvanized sheet,0.3
Unbaked bricks,0.05
Prefabricated sheet,0
