category,Male,Female,Total
India,9.2,25.9,10.9
SAARC country (excluding India),0.3,1.2,0.4
ASEAN country,20.1,1.2,18.1
Middle East country,59.1,25.3,55.7
Other Asian country,3.3,9,3.9
European Union country,2.3,9.6,3.1
Other European country,1.2,2.4,1.3
North American country (USA & Canada),2,12,3
South American country / Carribbean country,0.2,0,0.2
African country,0.1,0,0.1
Pacific Ocean region country,2.1,13.3,3.2
Other,0.1,0,0.1
Not stated,0.1,0,0.1
