"category","Male","Female"
"95+","1","3"
"90-94","3","4"
"85-89","14","17"
"80-84","27","32"
"75-79","45","50"
"70-74","94","88"
"65-69","126","128"
"60-64","151","174"
"55-59","178","197"
"50-54","259","259"
"45-49","292","303"
"40-44","354","358"
"35-39","370","462"
"30-34","345","507"
"25-29","370","533"
"20-24","435","507"
"15-19","472","416"
"10-14","464","375"
"05-09","485","408"
"00-04","373","329"
