"category","Male","Female"
"95+","1","6"
"90-94","8","7"
"85-89","9","23"
"80-84","33","41"
"75-79","65","89"
"70-74","106","114"
"65-69","138","133"
"60-64","176","164"
"55-59","183","209"
"50-54","279","320"
"45-49","254","321"
"40-44","315","355"
"35-39","378","461"
"30-34","383","506"
"25-29","383","521"
"20-24","428","520"
"15-19","543","561"
"10-14","491","487"
"05-09","543","544"
"00-04","442","379"
