category,series-0
Cement bonded bricks/  stone,57.5
Bamboo,26.7
Other,7.6
Wood / planks,3.3
Galvanized sheet,3
Mud bonded bricks/ stone,1.6
Unbaked bricks,0.3
Prefabricated sheet,0.04
