category,Single,Widow
1,8.7,7.6
2,11.1,8.9
3,9.3,7.4
4,8.2,6.9
5,8.9,7.1
6,8.2,7.3
7,10.7,8.6
8,8.5,7.1
9,10.8,9.4
10,10.3,8.5
11,9.5,7.6
12,8.3,7
13,8.1,6.9
14,8.5,7.1
15,10.8,9.2
16,10.2,8.3
17,8.3,6.9
18,4.7,4.4
19,7.8,6.3
