category,series-0
Primary education,25.9
Lower secondary,18.3
Upper secondary,15.9
SLC,14.8
Intermediate,13.8
Early childhood,4.3
Graduate,3.7
Post graduate equiv. & above,1.7
No level,1.2
Not stated,0.4
Other,0.1
