"category","Male","Female"
"95+","5","8"
"90-94","9","17"
"85-89","30","33"
"80-84","51","69"
"75-79","111","115"
"70-74","178","199"
"65-69","286","271"
"60-64","403","343"
"55-59","452","419"
"50-54","596","598"
"45-49","638","608"
"40-44","885","824"
"35-39","810","955"
"30-34","825","908"
"25-29","1009","1105"
"20-24","1005","1192"
"15-19","1034","978"
"10-14","933","877"
"05-09","875","808"
"00-04","782","700"
