category,Total,Male,Female
Nepali,28.8,28.1,29.5
Tharu,25.2,25,25.4
Maithili,23,23.8,22.3
Urdu,5.3,5.4,5.2
Rajbanshi,4.1,4.2,4.1
Majhi,3.3,3.2,3.3
Oraon/Kudukh,1.9,1.8,1.9
Magar Dhut,1.7,1.7,1.7
Nepalbhasha (Newari),1.08,1.08,1.08
