"category","Male","Female"
"> 70","390440","149051"
"60-69","676774","207652"
"50-59","996966","286049"
"40-49","1080779","432960"
"30-39","943229","608450"
"20-29","435836","383446"
"15-19","35818","32156"
"< 14","3817","3514"
