"category","Male","Female"
"95+","1","3"
"90-94","2","7"
"85-89","10","19"
"80-84","26","35"
"75-79","62","66"
"70-74","89","101"
"65-69","111","113"
"60-64","138","162"
"55-59","178","158"
"50-54","233","268"
"45-49","241","245"
"40-44","308","310"
"35-39","333","424"
"30-34","285","443"
"25-29","301","519"
"20-24","379","442"
"15-19","439","447"
"10-14","458","423"
"05-09","448","416"
"00-04","364","317"
