category,Male,Female,Total
Salary,87.8,63.9,84.2
Business,0.5,0.7,0.6
Study/training,5.2,17.2,7
Job seek,2.7,2.8,2.7
Dependent family member,2.9,13.3,4.5
Other,0.3,1.3,0.5
Not stated,0.4,0.9,0.5
