"category","Male","Female"
"95+","5","7"
"90-94","4","9"
"85-89","10","23"
"80-84","31","33"
"75-79","69","75"
"70-74","178","134"
"65-69","234","213"
"60-64","320","307"
"55-59","367","329"
"50-54","495","430"
"45-49","598","538"
"40-44","678","635"
"35-39","735","742"
"30-34","808","779"
"25-29","940","989"
"20-24","1009","1113"
"15-19","1011","946"
"10-14","899","904"
"05-09","959","845"
"00-04","767","724"
