category,series-0
Cement bonded bricks/  stone,82.9
Mud bonded bricks/ stone,7.4
Bamboo,4.2
Wood / planks,3.8
Galvanized sheet,1.05
Unbaked bricks,0.5
Other,0.1
Prefabricated sheet,0
