"category","Male","Female"
"95+","3","7"
"90-94","7","8"
"85-89","11","25"
"80-84","25","31"
"75-79","43","48"
"70-74","87","82"
"65-69","119","106"
"60-64","156","136"
"55-59","188","155"
"50-54","269","216"
"45-49","232","221"
"40-44","283","319"
"35-39","230","302"
"30-34","234","270"
"25-29","250","255"
"20-24","279","287"
"15-19","276","266"
"10-14","237","196"
"05-09","197","194"
"00-04","180","141"
