category,series-0
Primary education,27.7
Lower secondary,18.7
Upper secondary,17.6
Intermediate,12.8
SLC,12.1
Early childhood,4.3
Graduate,3.8
Post graduate equiv. & above,1.3
No level,1.1
Not stated,0.6
Other,0.1
