"category","Male","Female"
"95+","3","6"
"90-94","6","8"
"85-89","23","27"
"80-84","31","49"
"75-79","80","70"
"70-74","101","128"
"65-69","140","148"
"60-64","154","194"
"55-59","206","217"
"50-54","267","279"
"45-49","300","323"
"40-44","340","391"
"35-39","378","437"
"30-34","354","496"
"25-29","364","542"
"20-24","437","484"
"15-19","531","486"
"10-14","472","467"
"05-09","567","455"
"00-04","448","372"
